breed,wikipedia_url,description,thumbnail_path
Spaniels (Welsh Springer),https://en.wikipedia.org/wiki/Welsh_Springer_Spaniel,"The Welsh Springer Spaniel (Welsh: Llamgi Cymru) is a breed of dog and a member of the spaniel family. Thought to be comparable to the old Land Spaniel, they are similar to the English Springer Spaniel and historically have been referred to as both the Welsh Spaniel and the Welsh Cocker Spaniel. They were relatively unknown until a succession of victories in dog trials by the breed increased its popularity. Following recognition by The Kennel Club in 1902, the breed gained the modern name of Welsh Springer Spaniel. The breed's coat only comes in a single colour combination of white with red markings, usually in a piebald pattern. Loyal and affectionate, they can become very attached to family members and are wary of strangers. Health conditions are limited to those common among many breeds of dog, although they are affected more than average by hip dysplasia and some eye conditions. They are a working dog, bred for hunting, and while not as rare as some varieties of spaniel, they are rarer than the more widely known English Springer Spaniel with which they are sometimes confused.",spaniels (welsh springer).jpg
American Hairless Terriers,https://en.wikipedia.org/wiki/American_Hairless_Terrier,The American Hairless Terrier is a breed of companion dog from the United States that was developed from naturally hairless Rat Terriers.,american hairless terriers.jpg
Norfolk Terriers,https://en.wikipedia.org/wiki/Norfolk_Terrier,"The Norfolk Terrier is a British breed of dog. Prior to gaining recognition as an independent breed in 1964, it was a variety of the Norwich Terrier, distinguished from the ""prick eared"" Norwich by its ""drop ears"" (or folded ears). Together, the Norfolk and Norwich Terriers are the smallest of the working terriers.",norfolk terriers.jpg
Xoloitzcuintli,,,
Manchester Terriers,https://en.wikipedia.org/wiki/Manchester_Terrier,"The Manchester Terrier is a breed of dog of the smooth-haired terrier type. It was first bred in the 19th century to control vermin, notably rats, at which it excelled. So efficient at the task was it that it often appeared in rat-baiting pits until that sport, which had effectively been illegal in the UK since 1835, finally died out at the beginning of the 20th century.",manchester terriers.jpg
Kerry Blue Terriers,https://en.wikipedia.org/wiki/Kerry_Blue_Terrier,"The Kerry Blue Terrier (also known as the Irish Blue Terrier) (Irish: An Brocaire Gorm) is a breed of dog. Originally bred to control vermin including rats, rabbits, badgers, ferrets, foxes, otters, hares, deer, and even wolves, over time the Kerry became a general working dog used for a variety of jobs including herding cattle and sheep. Despite a Kerry Blue winning Crufts (the most prestigious UK dog show) in 2000, it remains an ""unfashionable"" breed, and is distinctly uncommon; however, it is not as threatened as some of the other terrier breeds such as the Skye Terrier, Sealyham Terrier, and Dandie Dinmont Terrier.",kerry blue terriers.jpg
Australian Terriers,https://en.wikipedia.org/wiki/Australian_Silky_Terrier,"The Australian Silky Terrier or simply Silky Terrier (depending on the breed registry) is a small breed of dog of the terrier dog type. The breed was developed in Australia, although the ancestral types and breeds were from Great Britain. It is closely related to the Australian Terrier and the Yorkshire Terrier. The breed is called the Silky Terrier in North America, but is called the Australian Silky Terrier in its country of origin and in the rest of the world.",australian terriers.jpg
Spaniels (Clumber),https://en.wikipedia.org/wiki/Clumber_Spaniel,"The Clumber Spaniel is a breed of dog of the spaniel type, developed in the United Kingdom. It is the largest of the spaniels, and comes in predominantly white with either lemon or orange markings. The name of the breed is taken from Clumber Park in Nottinghamshire where the breed was first developed. It is a gundog that specialises in hunting in heavy cover. They are gentle and loyal, and can act aloof with strangers. They have several habits which could be considered disadvantages, including a constant shedding of its coat and snoring.",spaniels (clumber).jpg
Lakeland Terriers,https://en.wikipedia.org/wiki/Lakeland_Terrier,"The Lakeland Terrier is a dog breed, which takes its name from its place of origin, the Lake District  in England. The dog is a small to mid-size member of the Terrier family. While independent in personality, it interacts well with owners and all family members. In the United Kingdom, the Lakeland Terrier is considered a vulnerable dog breed at risk of going extinct through low levels of breeding, according to The Kennel Club. In the United States, the Lakeland Terrier ranked 148 out of 193 breeds by number of American Kennel Club puppy registrations in 2019.",lakeland terriers.jpg
Bluetick Coonhounds,https://en.wikipedia.org/wiki/Bluetick_Coonhound,"The Bluetick Coonhound is a breed of coonhound originating in the United States. The Bluetick Coonhound is known for its friendly personality, cold nose, and deep bawl mouth. It is most commonly used as a raccoon hunting dog, but is also kept as a pet.",bluetick coonhounds.jpg
English Toy Spaniels,https://en.wikipedia.org/wiki/English_Water_Spaniel,"The English Water Spaniel is a breed of dog that has been extinct since the first part of the 20th century, with the last specimen seen in the 1930s. It was best known for its use in hunting waterfowl and for being able to dive as well as a duck. It is described as  similar to a Collie or to a cross between a Poodle and a Springer Spaniel with curly fur and typically in a white and liver/tan pattern.",english toy spaniels.jpg
German Pinschers,https://en.wikipedia.org/wiki/German_Pinscher,"The German Pinscher or Deutscher Pinscher is a German breed of terrier in the  Pinscher and Schnauzer group.: 218  It shares common origins with the Schnauzer, of which it is essentially a short-haired equivalent. It is seen in two colours, either black-and-tan or self-coloured red, this varying from deer-red to a dark reddish brown.",german pinschers.jpg
Tibetan Mastiffs,https://en.wikipedia.org/wiki/Tibetan_Mastiff,"The Tibetan Mastiff is a large Tibetan dog breed. Its double coat is medium to long, subject to climate, and found in a wide variety of colors, including solid black, black and tan, various shades of red (from pale gold to deep red) and bluish-gray (dilute black), and sometimes with white markings around its neck, chest and legs.",tibetan mastiffs.jpg
Bedlington Terriers,https://en.wikipedia.org/wiki/Bedlington_Terrier,"The Bedlington Terrier is a breed of small dog named after the mining town of Bedlington, Northumberland in North East England.  Originally bred to hunt, the Bedlington Terrier has since been used in dog racing, numerous dog sports, as well as in conformation shows and as a companion dog. It is closely related to the Dandie Dinmont Terrier, Whippet and Otterhound.",bedlington terriers.jpg
Greyhounds,https://en.wikipedia.org/wiki/Greyhound,"The English Greyhound, or simply the Greyhound, is a breed of dog, a sighthound which has been bred for coursing, greyhound racing and hunting. Since the rise in large-scale adoption of retired racing Greyhounds, the breed has seen a resurgence in popularity as a family pet.",greyhounds.jpg
Pulik,,,
Salukis,https://en.wikipedia.org/wiki/Saluki,"The Saluki (Arabic: سلوقي) is a standardised breed developed from sighthounds – dogs that hunt primarily by sight rather than strong scent – that was once used by nomadic tribes to run down game animals. The dog was originally bred in the Fertile Crescent. The modern breed is typically deep-chested and long-legged, and similar dogs appear in medieval and ancient art. The breed is most closely related to the Afghan hound, a basal breed that predates the emergence of modern breeds in the 19th century, and the Saluki has been purebred both in the Middle East, including by royalty, since at least that era, and in the West (especially in Britain and Germany) since the 1840s (with breed standards established in the West and the Middle East around the 1920s–1930s), though as a free-breeding landrace, similar dogs are common as feral animals in the Middle East. A related standardised breed is the north African Sloughi.",salukis.jpg
Barbets,https://en.wikipedia.org/wiki/Barbet_(dog),"The Barbet is a medium-sized breed of French water dog. It is a rare breed. The breed's name comes from the French word barbe, meaning 'beard'.",
Redbone Coonhounds,https://en.wikipedia.org/wiki/Redbone_Coonhound,"The Redbone Coonhound is an American breed of hunting dog. As a coonhound, the Redbone is primarily a hunter of small game that hide in trees, such as raccoons, opossums, and squirrels, but is also capable of handling big game like bears and cougars. Its hunting strategy is to tree wild game where hunters can then shoot the target, rather than directly hunting and subduing the prey.",redbone coonhounds.jpg
Swedish Vallhunds,https://en.wikipedia.org/wiki/Swedish_Vallhund,"The Swedish Vallhund, also known as the Västgötaspets and Swedish cow dog, is a breed of dog native to Sweden. The breed's name, Vallhund, when translated into English, means herding dog, as the Swedish Vallhund was originally bred as a drover and herder of cows over 1,000 years ago. In 1942, the dog came close to extinction, but careful breeding and publicity by Swedish national Björn von Rosen and K. G. Zettersten managed to revive the breed in popularity and save it from its likely end. In 1943, the Swedish Kennel Club recognized the Swedish Vallhund as a breed, and officially categorized the Swedish Vallhund as ""the Västgötaspets"" for Västergötland, the province in which their revival took place. Since then, the breed has been recognized by, and bred in, over ten countries and has gained some popularity.",swedish vallhunds.jpg
Sealyham Terriers,https://en.wikipedia.org/wiki/Sealyham_Terrier,"The Sealyham Terrier (Welsh: Daeargi Sealyham) is a rare Welsh breed of small to medium-sized terrier that originated in Wales as a working dog.  It is principally a white-bodied, rough-coated breed, developed in the mid-to-late-19th century by Captain John Edwardes at Sealyham House, Pembrokeshire.",
Spanish Water Dogs,https://en.wikipedia.org/wiki/Spanish_Water_Dog,"The Spanish Water Dog (perro de agua español) breed is used in Spain as a general purpose sheepdog and guard. It is also used sometimes as a gundog, and is skilled at retrieval from water.",spanish water dogs.jpg
Briards,https://en.wikipedia.org/wiki/Briard,"The Briard (pronounced [bʁijaʁ] ): 108  or Berger de Brie (pronounced [bɛʁʒe də bʁi];: 89  plural: Bergers de Brie) is a French breed of large shepherd dog, traditionally used both for herding sheep and to defend them. It was first shown at the first Paris dog show, in 1863; the first Briard to be registered in the Livre des Origines Françaises, the national stud-book, was Sans Gêne in 1885. It was in the past also known as the Chien de Berger français de Plaine.",briards.jpg
Berger Picards,https://en.wikipedia.org/wiki/Berger_Picard,"The Berger Picard ( bair-ZHAY pih-KAR, French: [bɛʁʒe pikaʁ]) or Picardy Shepherd, is a French herding dog originating in Picardy. These dogs nearly became extinct after both World War I and World War II and remain a rare breed.",berger picards.jpg
Entlebucher Mountain Dogs,https://en.wikipedia.org/wiki/Entlebucher_Mountain_Dog,"The Entlebucher Sennenhund or Entlebucher Mountain Dog is a medium-sized herding dog, it is the smallest of the four regional breeds that constitute the Sennenhund dog type. The name Sennenhund refers to people called Senn, herders in the Swiss Alps. Entlebuch is a region in the canton of Lucerne in Switzerland. The breed is also known in English as the Entelbuch Mountain Dog, Entelbucher Cattle Dog,  and similar combinations.",entlebucher mountain dogs.jpg
Treeing Walker Coonhounds,https://en.wikipedia.org/wiki/Treeing_Walker_Coonhound,"The Treeing Walker Coonhound is a breed of hound descended from the English and American Foxhounds. The breed originated in the United States when a stolen dog known as ""Tennessee Lead"" was crossed into the Walker Hound in the 19th century. The Treeing Walker Coonhound was recognized officially as a breed by the United Kennel Club in 1945 and by the American Kennel Club in 2012.",treeing walker coonhounds.jpg
Icelandic Sheepdogs,https://en.wikipedia.org/wiki/Icelandic_Sheepdog,"The Icelandic Sheepdog (Icelandic: Íslenskur fjárhundur,  pronounced [ˈistlɛnskʏr ˈfjaurˌhʏntʏr̥]), is an Icelandic breed of dog of Nordic Spitz type. It derives from dogs brought to Iceland by Viking settlers in the ninth century; it is both similar and closely related to the Buhund of Norway and the Vallhund and Norrbotten of Sweden, which  derive from the same ancestral stock.",icelandic sheepdogs.jpg
Wirehaired Vizslas,https://en.wikipedia.org/wiki/Wirehaired_Vizsla,"The Hungarian Wirehaired Vizsla  is a Hungarian breed of pointer dog. The Hungarian name, Drótszőrű magyar vizsla, is translated as Hungarian Wirehaired Pointer.",wirehaired vizslas.jpg
Pumik,,,
Portuguese Podengo Pequenos,https://en.wikipedia.org/wiki/Portuguese_Podengo,"The Portuguese Podengo, also known as the Podengo Português or Portuguese Warren Hound, is a hound (sight and scent) breed from Portugal and Brazil. As a breed, the Podengo is divided into three size categories that are not interbred: small (Pequeno), medium (Médio) and large (Grande). Their coats are either short and 'smooth', or longer and 'wired'. The smooth coated variety is traditional, whereas the wire coated variety is an outcome of the assimilation of various other breeds during the 20th century. In general, the breed is healthy; the Pequeno (small) variety has an average lifespan of approximately 15–17 years.",portuguese podengo pequenos.jpg
Spaniels (American Water),https://en.wikipedia.org/wiki/American_Water_Spaniel,"The American Water Spaniel (often abbreviated to AWS) is a breed of spaniel which originated in the United States. It was developed in the state of Wisconsin during the 19th century from a number of other breeds, including the Irish and English Water Spaniels. The breed was saved by Dr. Fred J. Pfeifer, who set up the breed club and standard, and whose work led to recognition for the breed by the United Kennel Club, and later, the American Kennel Club. While they are the state dog of Wisconsin, they remain a rare breed.",spaniels (american water).jpg
Retrievers (Curly-Coated),https://en.wikipedia.org/wiki/Curly-coated_Retriever,"The Curly-coated Retriever (not always hyphenated, and often called the Curly for short) is a breed of dog originally bred in England for upland bird and waterfowl hunting.  It is the tallest of the retrievers and is easily distinguishable by the mass of tight curls covering its body. Curly Coated and Wavy Coated (now known as the Flat-Coated Retriever) were the first two recognised retriever breeds, established as early as 1860.",retrievers (curly-coated).jpg
Spaniels (Field),https://en.wikipedia.org/wiki/Field_Spaniel,"The Field Spaniel is a medium-sized dog breed of spaniel type. They were originally developed to be all-black show dogs in the late 19th and early 20th centuries and were unpopular for work as a hunting dog. However, during the mid-20th century they were redeveloped as a longer-legged dog that was more suitable to be used for field work. They are now considered to be a rare breed, and are registered as a Vulnerable Native Breed by The Kennel Club.",spaniels (field).jpg
Lowchen,,,
Nederlandse Kooikerhondjes,,,
Affenpinschers,https://en.wikipedia.org/wiki/Affenpinscher,"The Affenpinscher (German: [ˈafn̩ˌpɪnʃɐ] ) is a German breed of small toy dog of Pinscher type.: 30  Originally developed as a mouser, the Affenpinscher is now commonly found as a companion worldwide.",affenpinschers.jpg
Petits Bassets Griffons Vendeens,,,
Finnish Lapphunds,https://en.wikipedia.org/wiki/Finnish_Lapphund,"The Finnish Lapphund (or Finnish Lapponian Dog) (Finnish: Suomenlapinkoira) is a hardy, easy going, medium-size breed of Spitz type. Traditionally it has been used for herding reindeer. Although it is one of the most popular dog breeds in its native country, Finland, it is not very numerous outside of the Nordic countries.",finnish lapphunds.jpg
Scottish Deerhounds,https://en.wikipedia.org/wiki/Scottish_Deerhound,"The Scottish Deerhound, or simply the Deerhound, is a breed of large sighthound, once bred to hunt the red deer by coursing. In outward appearance it is similar to the Greyhound, but larger and more heavily boned, with a rough coat.",scottish deerhounds.jpg
Plott Hounds,https://en.wikipedia.org/wiki/Plott_Hound,"The Plott Hound is a large scent hound, originally bred for hunting bears. In 1989, the North Carolina General Assembly designated the Plott Hound as the official State Dog. The Plott Hound was first registered with the United Kennel Club in 1946. Plott Hounds were recognized by the American Kennel Club in 2006 and were exhibited at the Westminster Show in 2008.",plott hounds.jpg
Norwegian Buhunds,https://en.wikipedia.org/wiki/Norwegian_Buhund,The Norwegian Buhund (Norwegian: Norsk buhund) is a breed of dog of the spitz type. It is closely related to the Icelandic Sheepdog and the Jämthund. The Buhund is used as a watch dog and an all purpose farm and herding dog.,norwegian buhunds.jpg
Glen of Imaal Terriers,https://en.wikipedia.org/wiki/Glen_of_Imaal_Terrier,"The Glen of Imaal Terrier (Irish: Brocaire Uí Mháil) is a breed of dog of the terrier category and one of four Irish terrier breeds. It is sometimes called the Irish Glen of Imaal Terrier or the Wicklow Terrier, and the name of the breed is often shortened by fanciers to just Glen.",glen of imaal terriers.jpg
Setters (Irish Red and White),,,
Ibizan Hounds,https://en.wikipedia.org/wiki/Ibizan_Hound,"The Ibizan Hound (Spanish: podenco ibicenco, Catalan: ca eivissenc) is a lean, agile dog of the hound family. There are two hair types of the breed: smooth and wire. The more commonly seen type is the smooth. Some consider there to be a third type, long, but the longhair is most likely a variation of the wire.",ibizan hounds.jpg
Spaniels (Sussex),https://en.wikipedia.org/wiki/Sussex_Spaniel,"The Sussex Spaniel is a breed of dog native to Sussex in southern England. It is a low, compact spaniel and is as old a breed as and similar in appearance to the Clumber Spaniel. They can be slow-paced, but can have a clownish and energetic temperament. They suffer from health conditions common to spaniels and some large dogs, as well as a specific range of heart conditions and spinal disc herniation.",spaniels (sussex).jpg
Bergamasco Sheepdogs,,,
Spaniels (Irish Water),https://en.wikipedia.org/wiki/Irish_Water_Spaniel,The Irish Water Spaniel (Irish: An Spáinnéar Uisce) is a breed of dog that is the tallest of the spaniels.,spaniels (irish water).jpg
Polish Lowland Sheepdogs,https://en.wikipedia.org/wiki/Polish_Lowland_Sheepdog,"The Polish Lowland Sheepdog (Polish: Polski Owczarek Nizinny, also PON), is a medium-sized, shaggy-coated, sheep dog breed native to Poland.",polish lowland sheepdogs.jpg
Otterhounds,https://en.wikipedia.org/wiki/Otterhound,The Otterhound is an English dog breed. It is a scent hound and is currently recognised by the Kennel Club as a Vulnerable Native Breed with around 600 animals worldwide.,otterhounds.jpg
Kuvaszok,,,
Komondorok,,,
Cirnechi dell’Etna,,,
Pharaoh Hounds,https://en.wikipedia.org/wiki/Pharaoh_Hound,"The Pharaoh Hound or Kelb tal-Fenek is a Maltese breed of hunting dog. It is traditionally used for rabbit-hunting in the rocky terrain of the islands; the Maltese name means ""rabbit dog"".",pharaoh hounds.jpg
Dandie Dinmont Terriers,https://en.wikipedia.org/wiki/Dandie_Dinmont_Terrier,"A Dandie Dinmont Terrier is a small Scottish dog breed in the terrier family. The breed has a very long body, short legs, and a distinctive topknot of hair on the head. They are friendly but tough, and are suitable for interaction with older children. There are breed-specific health concerns: they can be affected by spinal problems due to their elongated body, and the breed is affected by canine cancer at a higher than average rate.",dandie dinmont terriers.jpg
Pyrenean Shepherds,,,
Skye Terriers,https://en.wikipedia.org/wiki/Skye_Terrier,"The Skye Terrier is a Scottish dog breed that is a long, low, hardy terrier and ""one of the most endangered native dog breeds in the United Kingdom"" according to the Kennel Club.",skye terriers.jpg
Canaan Dogs,https://en.wikipedia.org/wiki/Canaan_Dog,"The Canaan Dog is a dog breed developed in the early 20th century from semiwild pariah dogs that were the descendants of animals present in the region since biblical times. It is a breed of pariah dog found across the Middle East. It can be found in Jordan, Israel, Lebanon, Palestine, and the Sinai Peninsula and these, or dogs nearly identical, were also found in Syria over 9,000 years ago. It is the national dog of Israel. As of 2012, there were 2,000 to 3,000 Canaan Dogs across the world.",canaan dogs.jpg
American English Coonhounds,https://en.wikipedia.org/wiki/American_English_Coonhound,"The American English Coonhound, also referred to as the English Coonhound or the Redtick Coonhound, is a breed of coonhound that originated in and is typically bred in the Southern United States. It is descended from hunting hounds, especially foxhounds, brought to America by settlers during the 17th and 18th centuries. The breed's first recognition came from the United Kennel Club in 1905 as the English Fox and Coonhound. Further recognition has been granted in recent years by the American Kennel Club, first in the Foundation Stock Service and in 2011 as a fully recognized member of the hound group.",american english coonhounds.jpg
Chinooks,https://en.wikipedia.org/wiki/Chinook_(dog),"The Chinook is a breed of sled dog, developed in the state of New Hampshire during the early 20th century. The Chinook is New Hampshire's official state dog.",
Finnish Spitz,https://en.wikipedia.org/wiki/Finnish_Spitz,"The Finnish Spitz (Finnish: suomenpystykorva) is a breed of dog originating in Finland.  The breed was originally trained to hunt all types of game from squirrels and other rodents to bears.  It is a ""bark pointer"", indicating the position of game by barking, and drawing the game animal's attention to itself, allowing an easier approach for the hunter. Its original game hunting purpose was to point to game that fled into trees, such as grouse, and capercaillies, but it also serves well for hunting elk. Some individuals have even been known to go after a bear. In its native country, the breed is still mostly used as a hunting dog. The breed is typically friendly and good with children, so it is suitable for domestic life. The Finnish Spitz has been the national dog of Finland since 1979.",finnish spitz.jpg
Grand Basset Griffon Vendeens,,,
Sloughis,https://en.wikipedia.org/wiki/Sloughi,"The Sloughi , or Arabian Greyhound (Arabic: سلوقي), is an ancient breed of domesticated dog, specifically a member of the sighthound family. It originates from North Africa and is found in Algeria, Tunisia, Morocco and Libya.",sloughis.jpg
Harriers,https://en.wikipedia.org/wiki/Harrier_(dog),"The Harrier is a medium-sized  dog breed of the  hound class,",
Cesky Terriers,https://en.wikipedia.org/wiki/Cesky_Terrier,"The Cesky Terrier ( CHES-kee; Czech: Český teriér, lit. 'Bohemian Terrier' or 'Czech Terrier') is a small terrier type dog originating in  Czechoslovakia.",cesky terriers.jpg
American Foxhounds,https://en.wikipedia.org/wiki/American_Foxhound,"The American Foxhound is a breed of dog, closely related to the English Foxhound. They are scent hounds, bred to hunt foxes by scent. United States Founding Father George Washington was key to the breed's early development.",american foxhounds.jpg
Azawakhs,https://en.wikipedia.org/wiki/Azawakh,"The Azawakh is a breed of dog from West Africa. With ancient origins, it is raised throughout the Sahelian zone of Mali, Niger,  and Burkina Faso.  This region includes the Azawagh Valley for which the breed is named. While commonly associated with the nomadic Tuareg people, the dogs are also bred and owned by other ethnic groups, such as the Peulh, Bella, and Hausa. The Azawakh is more related to the Sloughi than it is to the Saluki.",azawakhs.jpg
English Foxhounds,https://en.wikipedia.org/wiki/English_Foxhound,"The English Foxhound is one of the four foxhound breeds of dog. It is a cousin of the American Foxhound. They are scent hounds, bred to hunt foxes by scent.",english foxhounds.jpg
Norwegian Lundehunds,https://en.wikipedia.org/wiki/Norwegian_Lundehund,"The Norwegian Lundehund (Norwegian: Norsk lundehund) is a small dog breed of the Spitz type that originates from Norway. Its name is a compound noun composed of the elements lunde, meaning puffin (Norwegian lunde, ""puffin"", or lundefugl, ""puffin bird""), and hund, meaning dog. The breed was originally developed for the hunting of puffins and their eggs on inaccessible nesting places in caves and on cliffs.  The breed was at the brink of extinction in the 1960s and preservation efforts have since been underway.",norwegian lundehunds.jpg
